"gvkey","act","bkvlps","cogs","dltt","dp","dv","ebit","gdwl","ppent","revt","xlr","leverage_index","depre_index","saleadmin_index"
2940,858.487,30.7565,2693.197,0,54.682,0,221.361,426.939,111.814,2969.24,2671.468,0,0.328428310590044,0.899714405032938
2942,94.731,12.4158,151.543,11,11.438,1.683,32.665,116.783,35.243,273.952,17.9,0.116118271737868,0.245024742400548,0.0653399135614998
2953,512.829,14.6781,454.65,119.724,33.2,0,51.671,231.325,123.598,834.498,17.9,0.233457936271155,0.211737394609625,0.0214500214500214
2960,196.797,21.7138,908.573,159.208,26.486,11.881,146.711,458.343,79.292,1280.545,10017.117,0.808996072094595,0.250392331108548,7.82254196455415
2986,137.229,23.7546,354.198,89.642,20.758,11.013,52.59,3.711,462.757,427.546,176.988,0.653229273695793,0.0429314499033122,0.413962474213301
2991,48841,52.3447,145064,11289,13063,5674,25619,4617,104504,189607,13934,0.231137773591859,0.111111111111111,0.0734888479855701
2999,16.18,22.1139,21.887,0,1,0.406,0.826,0,7.479,28.521,621.012,0,0.117938436136337,21.7738508467445
3007,501.067,7.1747,2406.711,524.511,135.832,34.448,146.487,124.089,1129.077,2858.498,926.474,1.0467881540792,0.107384800013282,0.324112173596063
3026,649.481,26.2719,1360.649,249.673,67.813,44.039,471.209,857.361,468.324,2589.22,300.635,0.384419251679418,0.126484461993856,0.116110257143078
3028,169.995,30.5482,444.821,280.192,46.524,6.777,34.466,214.528,507.476,585.345,9.535,1.6482367128445,0.0839783393501805,0.0162895386481477
3031,15.568,1.7198,7.464,0.217,1.043,0,-2.436,2.066,1.575,27.727,10017.117,0.0139388489208633,0.398395721925134,361.276625671728
3036,322.9,-4.1602,604.5,2507.1,179.5,10.4,322.1,341.7,1264.4,1377,524.285,7.76432331991329,0.124316088371771,0.380744371822803
3039,267.095,4.1255,539.544,0,10.342,0,94.727,0,110.092,728.239,300.635,0,0.0858727601840012,0.41282463586817
3062,381.114,4.5153,45.048,18.479,4.646,0,37.297,11.539,2.312,216.987,854.92,0.0484868044732022,0.667720609370509,3.93995953674644
3093,526.273,15.0287,642.101,17.331,30.921,20.143,144.649,228.105,181.175,1011.429,808.819,0.0329315773372375,0.145787756487628,0.799679463412657
3105,931.93,19.2719,41910,5019,14.907,90.622,-272.459,0,20307,45987,13934,5.38559763072334,0.000733543362834994,0.302998673538174
3107,2583.7,28.392,2801.4,1881.3,322,68.9,1332.9,196.5,3979.2,4694.3,1534.4,0.728141812129891,0.0748628289779596,0.326864495238907
3121,1124,0.5981,2874,2124,181,282,1097,1650,979,5534,2957,1.88967971530249,0.156034482758621,0.53433321286592
3129,43.388,6.6605,88.269,10.113,0.716,0,1.285,0,1.707,108.6,92.3,0.233082880059002,0.295501444490301,0.849907918968692
3138,264.699,13.9228,816.011,578.458,59.161,9.18,95.418,102.049,368.999,1514.599,854.92,2.18534259668529,0.138174981315396,0.564453033443175
3144,21579,13.5266,11132,14041,1306,4068,9587,11665,14727,35119,7364,0.650678900783169,0.0814569949479199,0.20968706398246
3153,266.211,22.8488,259.623,130.067,141.619,0,74.9,0,2790.317,515.457,146.754,0.488586121535173,0.0483022139637427,0.284706580762314
3157,542.517,24.0883,317.581,0.033,29.659,0,63.497,70.796,90.339,605.067,110.872,6.08275869696249e-05,0.247162452707545,0.183239211525335
3158,240.217,11.4521,201.684,0,10.988,5.679,29.677,58.498,39.804,322.667,297.567,0,0.216333280831627,0.922210824162372
3170,3730,5.4057,6006,2815,376,1142,3768,2362,3693,15564,162.451,0.754691689008043,0.0924059965593512,0.0104376124389617
3184,2738,39.2493,702.67,8358,932,660,498.6,2362,7051.3,4019.6,146.754,3.05259313367421,0.116743702478925,0.0365096029455667
3198,13518,25.691,52263,20437,2507,226,5918,8649,15214,61682,15709,1.51183607042462,0.141470571638169,0.254677215395091
3203,53.396,9.2849,68.705,12.667,6.123,1.759,17.198,17.437,27.414,118.743,356.037,0.237227507678478,0.182574469988371,2.99838306258053
3218,351.102,-22.0023,1261.551,0,142.8,187,429.7,41.2,388.137,2358.434,2024.606,0,0.268958463998553,0.858453533149539
3226,8886,15.9748,15170,29615,6540,1064,8136,14958,23515,37937,4117,3.3327706504614,0.21760106471469,0.108522023354509
3246,2175.206,10.9402,5742.131,1197.282,168.934,54.489,-129.098,71.58,1232.268,6306.102,641.756,0.550422350802637,0.120563630368783,0.101767462689313
3270,771.314,17.5044,2709.019,368.832,35.394,372,-5.043,0,586.9,4723.573,2423.102,0.478186575117267,0.0568766531575108,0.512980745719395
3275,86.204,10.8509,67.013,2.002,1.859,4.859,15.614,4.56,13.214,120.072,297.567,0.0232239803257389,0.123333112187355,2.4782380571657
3278,1638,3.9524,2649,7009,1367,0,600,76,6847,5185,49.073,4.27899877899878,0.166423179936693,0.00946441658630665
3310,2611.821,15.6157,2312.105,0,108.668,412,786.348,1634.6,448.881,4334.64,911.028,0,0.194903048880009,0.210173855268258
3336,189.956,25.944,345.977,2190,836.841,55.4,-61.1,155.8,6258,1837.62,49.073,11.528985659837,0.117950634834523,0.0267046505806424
3342,75.479,5.3036,258.461,0,1.711,0,13.93,35.678,8.364,331.407,808.819,0,0.169826302729529,2.44056100203074
3358,840.819,24.7646,495.834,200,19.067,0,122.129,137.354,33.727,778.205,222.337,0.237863321356915,0.361158464977081,0.285704923509872
3362,133.928,7.3287,650.398,725.314,75.9,0,114.966,176.584,912.114,956.848,578.753,5.41570097365749,0.0768207737947033,0.604853644465997
3369,6.111,0.5469,34.616,0.22,0.357,0,2.293,0,2.167,40.87,2.879,0.0360006545573556,0.141442155309033,0.0704428676290678
3392,429.2,24.1598,1200.461,265.3,333,31,426.338,1760,1470,2403.743,92.3,0.618126747437092,0.184692179700499,0.03839844775419
3394,20.428,13.0449,38.834,111.675,7.088,7.98,21.228,3.608,344.219,67.15,114.993,5.46676130800862,0.0201760853043065,1.71247952345495
3399,1.86,0.2069,0.667,0.279,0.027,0,-3.531,0,0.096,1.179,453.573,0.15,0.219512195121951,384.709923664122
3416,1120.077,14.937,4657.157,793.95,192.502,20.845,102.341,337.65,1404.585,4952,2024.606,0.708835196151693,0.120533195749511,0.408846122778675
3424,109.831,202.7647,503.968,142.028,26.86,0,50.286,28.759,386.181,673.781,5.905,1.29315038559241,0.0650298638633937,0.00876397523824507
3439,2759,11.1886,4928,6636,576,162,928,0,10069,6432,960.9,2.40521928234868,0.0541099107562236,0.149393656716418
3465,41.288,31.7929,91.007,10.16,4.381,0,0.372,7.229,23.693,114.284,43.4,0.246076341794226,0.156051862933675,0.379755696335445
3469,582.326,7.0897,187.927,925.991,308.552,0.002,280.733,0,2981.991,839.065,519.179,1.59015912049264,0.0937693262175878,0.61875897576469
